метро;комнат;ссылка;адрес;минут до метро;цена
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/24754060/;Москва, район Басманный, Хомутовский туп., 4к1;6;11.6
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/3812891/;Москва, район Басманный, Садовая-Черногрязская ул., 5/9;4;17.5
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/43946450/;Москва, район Красносельский, пер. Докучаев, 17;7;17.7
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/34530298/;Москва, район Басманный, Гороховский пер., 12;15;33.7
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/34530274/;Москва, район Басманный, Гороховский пер., 12;15;39.7
Красные ворота;1-комнатная;http://www.cian.ru/sale/flat/42410556/;Москва, район Красносельский, Новорязанская ул., 2/7;5;7.5
Красные ворота;1-комнатная;http://www.cian.ru/sale/flat/46482732/;Москва, район Красносельский, Басманный пер., 3/4С9;10;8.0
Красные ворота;1-комнатная;http://www.cian.ru/sale/flat/27004942/;Москва, район Басманный, Фурманный пер., 1/5;7;9.4
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/37076776/;Москва, район Басманный, Старая Басманная ул., 9к2;7;9.5
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/40507679/;Москва, район Басманный, Старая Басманная ул., 20к5;10;9.8
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/45153535/;Москва, район Басманный, Новая Басманная ул., 4/6с3;4;10.2
Красные ворота;1-комнатная;http://www.cian.ru/sale/flat/29398576/;Москва, район Басманный, Хомутовский туп., 4к1;6;11.9
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/29735530/;Москва, район Басманный, Гороховский пер., 8;10;12.1
Красные ворота;1-комнатная;http://www.cian.ru/sale/flat/28416496/;Москва, район Красносельский, пер. Докучаев, 15;8;12.5
Красные ворота;1-комнатная;http://www.cian.ru/sale/flat/24388680/;Москва, район Красносельский, Басманный пер., 9;6;13.3
Красные ворота;1-комнатная;http://www.cian.ru/sale/flat/34022560/;Москва, район Басманный, Садовая-Черногрязская ул., 16-18С1;3;13.5
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/22470282/;Москва, район Басманный, Новая Басманная ул., 4/6с3;2;14.5
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/34222768/;Москва, район Красносельский, Каланчевская ул., 22;14;17.7
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/26918572/;Москва, район Басманный, Хоромный туп., 2/6;2;19.0
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/33296278/;Москва, район Басманный, Гороховский пер., 12;10;19.0
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/37060936/;Москва, район Басманный, Фурманный пер., 16С1;10;19.9
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/36338345/;Москва, район Басманный, Фурманный пер., 16С1;5;22.0
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/26769304/;Москва, район Басманный, Новая Басманная ул., 14С1;5;24.0
Красные ворота;1-комнатная;http://www.cian.ru/sale/flat/34530316/;Москва, район Басманный, Гороховский пер., 12;15;25.2
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/42780408/;Москва, район Красносельский, Садовая-Спасская ул., 21/1;1;33.0
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/34530280/;Москва, район Басманный, Гороховский пер., 12;15;33.6
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/45762597/;Москва, район Басманный, Большой Харитоньевский пер., 16-18;5;44.9
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/45043389/;Москва, район Басманный, Большой Харитоньевский пер., 16-18;10;45.0
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/18743788/;Москва, район Басманный, Большой Харитоньевский пер., 16-18;6;45.0
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/45784839/;Москва, район Басманный, Большой Харитоньевский пер., 16-18;5;45.0
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/23176218/;Москва, район Басманный, Большой Харитоньевский пер., 16-18;5;46.9
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/30751846/;Москва, район Басманный, Большой Харитоньевский пер., 16-18;5;50.0
Красные ворота;1-комнатная;http://www.cian.ru/sale/flat/41086703/;Москва, район Красносельский, Новая Басманная ул., 15;6;11.1
Красные ворота;1-комнатная;http://www.cian.ru/sale/flat/10973300/;Москва, район Красносельский, Басманный пер., 9;10;13.3
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/43636247/;Москва, район Басманный, Большой Козловский пер., 11С1;3;14.0
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/44711778/;Москва, район Басманный, Старая Басманная ул., 9к2;7;15.9
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/40913093/;Москва, район Красносельский, Садовая-Спасская ул., 21/1;1;25.8
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/42839136/;Москва, район Басманный, Большой Харитоньевский пер., 16-18;5;65.6
Красные ворота;1-комнатная;http://www.cian.ru/sale/flat/34530118/;Москва, район Басманный, Гороховский пер., 12;15;24.2
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/3232179/;Москва, район Басманный, Новая Басманная ул., 4-6С3;3;11.1
Красные ворота;2-комнатная;http://www.cian.ru/sale/flat/2759843/;Москва, район Красносельский, Новая Басманная ул., 5;4;20.0
