метро;комнат;ссылка;адрес;минут до метро;цена
Крестьянская застава;2-комнатная;http://www.cian.ru/sale/flat/39973211/;Москва, район Таганский, Волгоградский просп., 8;7;11.5
Крестьянская застава;2-комнатная;http://www.cian.ru/sale/flat/44679570/;Москва, район Таганский, Большая Калитниковская ул., 12;13;12.1
Крестьянская застава;2-комнатная;http://www.cian.ru/sale/flat/46457932/;Москва, район Таганский, ул. Гвоздева, 7/4С1;6;17.4
Крестьянская застава;1-комнатная;http://www.cian.ru/sale/flat/32677924/;Москва, район Таганский, Стройковская ул., 10;7;6.8
Крестьянская застава;1-комнатная;http://www.cian.ru/sale/flat/25134736/;Москва, район Таганский, Малая Калитниковская ул., 45;5;7.9
Крестьянская застава;1-комнатная;http://www.cian.ru/sale/flat/4341853/;Москва, район Южнопортовый, 3-й Крутицкий пер., 15;3;7.9
Крестьянская застава;2-комнатная;http://www.cian.ru/sale/flat/36538498/;Москва, район Таганский, Волгоградский просп., 1С1;3;8.5
Крестьянская застава;2-комнатная;http://www.cian.ru/sale/flat/41583630/;Москва, район Таганский, Малая Калитниковская ул., 16;8;9.7
Крестьянская застава;1-комнатная;http://www.cian.ru/sale/flat/35901012/;Москва, район Южнопортовый, 3-й Крутицкий пер., 15;4;10.2
Крестьянская застава;2-комнатная;http://www.cian.ru/sale/flat/30876826/;Москва, район Таганский, ул. Рогожский Вал, 8;10;11.8
Крестьянская застава;2-комнатная;http://www.cian.ru/sale/flat/44251488/;Москва, район Таганский, ул. Гвоздева, 7/4С1;6;17.3
Крестьянская застава;2-комнатная;http://www.cian.ru/sale/flat/25936288/;Москва, район Южнопортовый, 3-й Крутицкий пер., 11;2;31.5
Крестьянская застава;2-комнатная;http://www.cian.ru/sale/flat/4310008/;Москва, район Таганский, Марксистская ул., 38;10;76.5
Крестьянская застава;2-комнатная;http://www.cian.ru/sale/flat/39973205/;Москва, район Таганский, Волгоградский просп., 8;7;11.5
Крестьянская застава;2-комнатная;http://www.cian.ru/sale/flat/44679558/;Москва, район Таганский, Большая Калитниковская ул., 12;13;12.1
Крестьянская застава;2-комнатная;http://www.cian.ru/sale/flat/46457927/;Москва, район Таганский, ул. Гвоздева, 7/4С1;6;17.4
