метро;комнат;ссылка;адрес;минут до метро;цена
Улица Старокачаловская;1-комнатная;http://www.cian.ru/sale/flat/37676062/;Москва, район Северное Бутово, ул. Грина, 1к8;13;6.7
Улица Старокачаловская;2-комнатная;http://www.cian.ru/sale/flat/43133238/;Москва, район Северное Бутово, ул. Грина, 34С3;6;3.9
Улица Старокачаловская;2-комнатная;http://www.cian.ru/sale/flat/45156239/;Москва, район Северное Бутово, бул. Дмитрия Донского, 6;4;4.1
Улица Старокачаловская;1-комнатная;http://www.cian.ru/sale/flat/26655940/;Москва, район Северное Бутово, ул. Грина, 34К1;6;4.1
Улица Старокачаловская;2-комнатная;http://www.cian.ru/sale/flat/45155595/;Москва, район Северное Бутово, Куликовская ул., 12;5;4.5
Улица Старокачаловская;1-комнатная;http://www.cian.ru/sale/flat/43651853/;Москва, район Северное Бутово, ул. Академика Глушко;10;4.7
Улица Старокачаловская;2-комнатная;http://www.cian.ru/sale/flat/44694978/;Москва, район Северное Бутово, ул. Грина, 15;10;4.9
Улица Старокачаловская;1-комнатная;http://www.cian.ru/sale/flat/34132564/;Москва, район Северное Бутово, Феодосийская ул., 4;7;5.5
Улица Старокачаловская;1-комнатная;http://www.cian.ru/sale/flat/35441290/;Москва, район Северное Бутово, ул. Грина, 3К1;6;6.2
Улица Старокачаловская;2-комнатная;http://www.cian.ru/sale/flat/36330779/;Москва, район Северное Бутово, ул. Грина, 32;6;6.2
Улица Старокачаловская;1-комнатная;http://www.cian.ru/sale/flat/24448030/;Москва, район Северное Бутово, ул. Грина, 7;10;6.5
Улица Старокачаловская;1-комнатная;http://www.cian.ru/sale/flat/42029610/;Москва, район Северное Бутово, бул. Дмитрия Донского, 13;5;6.7
Улица Старокачаловская;2-комнатная;http://www.cian.ru/sale/flat/42136692/;Москва, район Северное Бутово, ул. Грина, 1К6;10;6.7
Улица Старокачаловская;2-комнатная;http://www.cian.ru/sale/flat/41465909/;Москва, район Северное Бутово, ул. Грина, 15;10;8.5
Улица Старокачаловская;2-комнатная;http://www.cian.ru/sale/flat/32444860/;Москва, район Северное Бутово, ул. Грина, 13;9;8.7
Улица Старокачаловская;2-комнатная;http://www.cian.ru/sale/flat/21922928/;Москва, район Северное Бутово, Ратная ул., 8К3;6;8.9
Улица Старокачаловская;2-комнатная;http://www.cian.ru/sale/flat/32117950/;Москва, район Северное Бутово, Коктебельская ул., 8;8;10.0
Улица Старокачаловская;2-комнатная;http://www.cian.ru/sale/flat/39132509/;Москва, район Северное Бутово, ул. Грина, 3К1;6;10.0
Улица Старокачаловская;2-комнатная;http://www.cian.ru/sale/flat/39132755/;Москва, район Северное Бутово, ул. Грина, 3К1;6;10.5
Улица Старокачаловская;2-комнатная;http://www.cian.ru/sale/flat/36405731/;Москва, район Северное Бутово, Куликовская ул., 7;11;10.9
Улица Старокачаловская;2-комнатная;http://www.cian.ru/sale/flat/39878747/;Москва, район Северное Бутово, ул. Грина, 9;7;11.4
Улица Старокачаловская;2-комнатная;http://www.cian.ru/sale/flat/36988876/;Москва, район Северное Бутово, ул. Грина, 20;4;11.5
Улица Старокачаловская;2-комнатная;http://www.cian.ru/sale/flat/13055521/;Москва, район Северное Бутово, Коктебельская ул., 8;7;11.8
Улица Старокачаловская;2-комнатная;http://www.cian.ru/sale/flat/21379379/;Москва, район Северное Бутово, ул. Грина, 24;3;12.2
Улица Старокачаловская;1-комнатная;http://www.cian.ru/sale/flat/39160397/;Москва, район Северное Бутово, Коктебельская ул., 4К3;3;6.2
Улица Старокачаловская;1-комнатная;http://www.cian.ru/sale/flat/29652712/;Москва, район Северное Бутово, ул. Грина, 40;9;7.8
Улица Старокачаловская;2-комнатная;http://www.cian.ru/sale/flat/44715492/;Москва, район Северное Бутово, ул. Грина, 1К5;12;8.0
Улица Старокачаловская;Студия;http://www.cian.ru/sale/flat/41236247/;Москва, район Северное Бутово, ул. Грина, 34К1;4;2.0
Улица Старокачаловская;2-комнатная;http://www.cian.ru/sale/flat/26531584/;Москва, район Северное Бутово, ул. Грина, 8;10;5.2
Улица Старокачаловская;1-комнатная;http://www.cian.ru/sale/flat/24511504/;Москва, район Северное Бутово, ул. Грина, 1к8;14;6.8
